age,job_type,education,education_num,job,marital_status,religion,gender,hours_per_week,income
46,Private,10th,6,Driver,Unmarried,Muslim,Male,40,less than 30 k INR
44,Private,10th,6,Police,Unmarried,Other,Female,42,less than 30 k INR
51,Private,10th,6,Other-service,Unmarried,Hindu,Female,25,less than 30 k INR
47,Private,10th,6,Sales,Unmarried,Hindu,Female,30,less than 30 k INR
48,Private,10th,6,Driver,Unmarried,Hindu,Female,32,less than 30 k INR
37,Private,10th,6,Other-service,Unmarried,Hindu,Female,33,less than 30 k INR
37,Private,10th,6,Executive,Unmarried,Hindu,Female,35,less than 30 k INR
34,Private,10th,6,Other-service,Unmarried,Hindu,Female,38,less than 30 k INR
44,Private,10th,6,Police,Unmarried,Hindu,Female,40,less than 30 k INR
37,Private,10th,6,Mechanic,Unmarried,Hindu,Female,40,less than 30 k INR
36,Private,10th,6,Executive,Unmarried,Hindu,Female,40,less than 30 k INR
40,Private,10th,6,Driver,Unmarried,Hindu,Female,40,less than 30 k INR
62,Private,10th,6,Other-service,Unmarried,Hindu,Female,40,less than 30 k INR
30,Private,10th,6,Other-service,Unmarried,Hindu,Female,40,less than 30 k INR
54,Private,10th,6,Other-service,Unmarried,Hindu,Female,40,less than 30 k INR
62,Private,10th,6,Teacher,Unmarried,Hindu,Female,40,less than 30 k INR
61,Private,10th,6,Sales,Unmarried,Hindu,Female,40,less than 30 k INR
33,Private,10th,6,Other-service,Unmarried,Hindu,Female,45,less than 30 k INR
53,Private,10th,6,Police,Unmarried,Hindu,Female,48,less than 30 k INR
24,Private,10th,6,Domestic Servants,Unmarried,Hindu,Female,58,less than 30 k INR
43,Private,10th,6,Farmer,Unmarried,Hindu,Male,25,less than 30 k INR
65,Government,10th,6,Mechanic,Unmarried,Hindu,Male,40,less than 30 k INR
32,Private,10th,6,Mechanic,Unmarried,Hindu,Male,40,less than 30 k INR
36,Private,10th,6,Taxi-driver,Unmarried,Hindu,Male,48,less than 30 k INR
54,Private,10th,6,Teacher,Unmarried,Hindu,Male,68,more than 30 k INR
49,Private,10th,6,Farmer,Unmarried,Hindu,Male,70,less than 30 k INR
67,Private,10th,6,Taxi-driver,Married,ST,Male,20,less than 30 k INR
51,Government,10th,6,Mechanic,Married,ST,Male,40,less than 30 k INR
32,Private,10th,6,Domestic Servants,Married,ST,Male,40,less than 30 k INR
43,Private,10th,6,Mechanic,Married,Christians,Male,42,less than 30 k INR
35,Private,10th,6,Other-service,Married,Christians,Male,60,less than 30 k INR
56,Private,10th,6,Police,Married,Muslim,Male,40,less than 30 k INR
40,Private,10th,6,Mechanic,Married,Muslim,Male,40,less than 30 k INR
62,Private,10th,6,Mechanic,Married,Muslim,Male,40,less than 30 k INR
53,Private,10th,6,Mechanic,Married,Muslim,Male,40,less than 30 k INR
48,Private,10th,6,Farmer,Married,Muslim,Male,40,less than 30 k INR
60,Private,10th,6,Domestic Servants,Married,Muslim,Male,40,less than 30 k INR
43,Private,10th,6,Domestic Servants,Married,Muslim,Male,40,less than 30 k INR
62,Private,10th,6,Driver,Married,Muslim,Male,40,less than 30 k INR
48,Private,10th,6,Driver,Married,Muslim,Male,40,less than 30 k INR
64,Private,10th,6,Other-service,Married,Muslim,Male,40,less than 30 k INR
30,Private,10th,6,Other-service,Married,Muslim,Male,40,less than 30 k INR
55,Private,10th,6,Other-service,Married,Muslim,Male,40,less than 30 k INR
50,Private,10th,6,Other-service,Married,Muslim,Male,40,less than 30 k INR
54,Private,10th,6,Taxi-driver,Married,Muslim,Male,40,less than 30 k INR
48,Private,10th,6,Taxi-driver,Married,Muslim,Male,40,less than 30 k INR
55,Private,10th,6,Mechanic,Married,Muslim,Male,40,more than 30 k INR
43,Private,10th,6,Driver,Married,Muslim,Male,40,more than 30 k INR
41,Private,10th,6,Taxi-driver,Married,Muslim,Male,40,more than 30 k INR
59,Private,10th,6,Taxi-driver,Married,Muslim,Male,40,more than 30 k INR
49,Private,10th,6,Taxi-driver,Married,Muslim,Male,42,more than 30 k INR
38,Private,10th,6,Mechanic,Married,Muslim,Male,45,less than 30 k INR
46,Private,10th,6,Domestic Servants,Married,Muslim,Male,45,less than 30 k INR
55,Private,10th,6,Taxi-driver,Married,Muslim,Male,45,less than 30 k INR
57,Private,10th,6,Driver,Married,Muslim,Male,48,less than 30 k INR
35,Private,10th,6,Taxi-driver,Married,Muslim,Male,50,less than 30 k INR
50,Private,10th,6,Other-service,Married,Hindu,Male,8,less than 30 k INR
57,Private,10th,6,Mechanic,Married,Hindu,Male,8,less than 30 k INR
71,Private,10th,6,Mechanic,Married,Hindu,Male,8,less than 30 k INR
69,Government,10th,6,Taxi-driver,Married,Hindu,Male,10,less than 30 k INR
64,Private,10th,6,Teacher,Married,Hindu,Male,10,more than 30 k INR
72,Private,10th,6,Other-service,Married,Hindu,Male,12,less than 30 k INR
72,Private,10th,6,Sales,Married,Hindu,Male,15,less than 30 k INR
68,Private,10th,6,Sales,Married,Hindu,Male,16,less than 30 k INR
67,Private,10th,6,Taxi-driver,Married,Hindu,Male,16,less than 30 k INR
55,Private,10th,6,Mechanic,Married,Hindu,Male,18,less than 30 k INR
74,Private,10th,6,Police,Married,Hindu,Male,20,less than 30 k INR
69,Government,10th,6,Executive,Married,Hindu,Male,20,less than 30 k INR
65,Private,10th,6,Domestic Servants,Married,Hindu,Male,22,more than 30 k INR
21,Private,10th,6,Other-service,Married,Hindu,Male,25,less than 30 k INR
69,Government,10th,6,Taxi-driver,Married,Hindu,Male,25,less than 30 k INR
28,Private,10th,6,Domestic Servants,Married,Hindu,Male,30,less than 30 k INR
48,Private,10th,6,Mechanic,Married,Hindu,Male,30,less than 30 k INR
66,Private,10th,6,Sales,Married,Hindu,Male,30,less than 30 k INR
52,Private,10th,6,Taxi-driver,Married,Hindu,Male,30,more than 30 k INR
70,Private,10th,6,Domestic Servants,Married,Hindu,Male,32,less than 30 k INR
53,Private,10th,6,Other-service,Married,Hindu,Male,34,less than 30 k INR
56,Private,10th,6,Other-service,Married,Hindu,Male,35,more than 30 k INR
37,Private,10th,6,Farmer,Married,Hindu,Male,35,less than 30 k INR
42,Private,10th,6,Mechanic,Married,Hindu,Male,35,less than 30 k INR
52,Private,10th,6,Mechanic,Married,Hindu,Male,35,less than 30 k INR
53,Private,10th,6,Farmer,Married,Hindu,Male,35,less than 30 k INR
21,Private,10th,6,Domestic Servants,Married,Hindu,Male,35,less than 30 k INR
62,Private,10th,6,Sales,Married,Hindu,Male,35,less than 30 k INR
55,Private,10th,6,Sales,Married,Hindu,Male,35,less than 30 k INR
26,Private,10th,6,Taxi-driver,Married,Hindu,Male,35,less than 30 k INR
37,Private,10th,6,Taxi-driver,Married,Hindu,Male,35,less than 30 k INR
29,Private,10th,6,Mechanic,Married,Hindu,Male,35,more than 30 k INR
28,Private,10th,6,Mechanic,Married,Hindu,Male,36,less than 30 k INR
54,Private,10th,6,Mechanic,Married,Hindu,Male,36,less than 30 k INR
21,Private,10th,6,Driver,Married,Hindu,Male,36,less than 30 k INR
50,Private,10th,6,Mechanic,Married,Hindu,Male,38,less than 30 k INR
25,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
25,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
31,Private,10th,6,Farmer,Married,Hindu,Male,40,less than 30 k INR
37,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
51,Private,10th,6,Other-service,Married,Hindu,Male,40,less than 30 k INR
24,Private,10th,6,Other-service,Married,Hindu,Male,40,less than 30 k INR
23,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
34,Private,10th,6,Domestic Servants,Married,Hindu,Male,40,less than 30 k INR
59,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
55,Government,10th,6,Police,Married,Hindu,Male,40,less than 30 k INR
54,Government,10th,6,Police,Married,Hindu,Male,40,less than 30 k INR
43,Private,10th,6,Police,Married,Hindu,Male,40,less than 30 k INR
64,Private,10th,6,Police,Married,Hindu,Male,40,less than 30 k INR
43,Private,10th,6,Police,Married,Hindu,Male,40,less than 30 k INR
30,Government,10th,6,Police,Married,Hindu,Male,40,less than 30 k INR
58,Government,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
66,Government,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
52,Government,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
30,Government,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
59,Government,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
39,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
55,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
59,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
29,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
32,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
57,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
42,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
37,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
28,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
36,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
31,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
29,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
30,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
21,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
33,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
55,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
39,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
35,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
45,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
35,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
33,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
63,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
34,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
50,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
40,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
47,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
34,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
30,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
39,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
52,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
36,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
36,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
60,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
67,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
58,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
53,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
57,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
65,Private,10th,6,Mechanic,Married,Hindu,Male,40,less than 30 k INR
63,Private,10th,6,Executive,Married,Hindu,Male,40,less than 30 k INR
90,Private,10th,6,Executive,Married,Hindu,Male,40,less than 30 k INR
49,Private,10th,6,Executive,Married,Hindu,Male,40,less than 30 k INR
42,Private,10th,6,Executive,Married,Hindu,Male,40,less than 30 k INR
25,Private,10th,6,Executive,Married,Hindu,Male,40,less than 30 k INR
48,Private,10th,6,Executive,Married,Hindu,Male,40,less than 30 k INR
33,Private,10th,6,Farmer,Married,Hindu,Male,40,less than 30 k INR
34,Private,10th,6,Farmer,Married,Hindu,Male,40,less than 30 k INR
59,Private,10th,6,Farmer,Married,Hindu,Male,40,less than 30 k INR
53,Private,10th,6,Farmer,Married,Hindu,Male,40,less than 30 k INR
59,Government,10th,6,Farmer,Married,Hindu,Male,40,less than 30 k INR
24,Private,10th,6,Domestic Servants,Married,Hindu,Male,40,less than 30 k INR
27,Private,10th,6,Domestic Servants,Married,Hindu,Male,40,less than 30 k INR
27,Private,10th,6,Domestic Servants,Married,Hindu,Male,40,less than 30 k INR
26,Private,10th,6,Domestic Servants,Married,Hindu,Male,40,less than 30 k INR
43,Private,10th,6,Domestic Servants,Married,Hindu,Male,40,less than 30 k INR
59,Private,10th,6,Domestic Servants,Married,Hindu,Male,40,less than 30 k INR
54,Private,10th,6,Domestic Servants,Married,Hindu,Male,40,less than 30 k INR
46,Private,10th,6,Domestic Servants,Married,Hindu,Male,40,less than 30 k INR
56,Private,10th,6,Domestic Servants,Married,Hindu,Male,40,less than 30 k INR
23,Private,10th,6,Domestic Servants,Married,Hindu,Male,40,less than 30 k INR
33,Government,10th,6,Domestic Servants,Married,Hindu,Male,40,less than 30 k INR
62,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
31,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
61,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
36,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
60,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
27,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
33,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
33,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
59,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
25,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
57,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
27,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
54,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
71,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
39,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
42,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
40,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
55,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
31,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
28,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
31,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
39,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
63,Private,10th,6,Driver,Married,Hindu,Male,40,less than 30 k INR
53,Government,10th,6,Other-service,Married,Hindu,Male,40,less than 30 k INR
26,Government,10th,6,Other-service,Married,Hindu,Male,40,less than 30 k INR
57,Private,10th,6,Other-service,Married,Hindu,Male,40,less than 30 k INR
55,Private,10th,6,Other-service,Married,Hindu,Male,40,less than 30 k INR
21,Private,10th,6,Other-service,Married,Hindu,Male,40,less than 30 k INR
49,Government,10th,6,Other-service,Married,Hindu,Male,40,less than 30 k INR
33,Government,10th,6,Other-service,Married,Hindu,Male,40,less than 30 k INR
66,Private,10th,6,Fireman,Married,Hindu,Male,40,less than 30 k INR
56,Private,10th,6,Sales,Married,Hindu,Male,40,less than 30 k INR
45,Private,10th,6,Sales,Married,Hindu,Male,40,less than 30 k INR
61,Private,10th,6,Sales,Married,Hindu,Male,40,less than 30 k INR
31,Private,10th,6,Sales,Married,Hindu,Male,40,less than 30 k INR
60,Private,10th,6,Sales,Married,Hindu,Male,40,less than 30 k INR
58,Government,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
33,Government,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
40,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
44,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
60,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
43,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
54,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
63,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
31,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
61,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
58,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
25,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
28,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
32,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
59,Private,10th,6,Mechanic,Married,Hindu,Male,40,more than 30 k INR
50,Private,10th,6,Mechanic,Married,Hindu,Male,40,more than 30 k INR
50,Private,10th,6,Mechanic,Married,Hindu,Male,40,more than 30 k INR
51,Private,10th,6,Mechanic,Married,Hindu,Male,40,more than 30 k INR
38,Private,10th,6,Mechanic,Married,Hindu,Male,40,more than 30 k INR
59,Private,10th,6,Mechanic,Married,Hindu,Male,40,more than 30 k INR
32,Private,10th,6,Mechanic,Married,Hindu,Male,40,more than 30 k INR
58,Private,10th,6,Mechanic,Married,Hindu,Male,40,more than 30 k INR
55,Private,10th,6,Mechanic,Married,Hindu,Male,40,more than 30 k INR
58,Private,10th,6,Mechanic,Married,Hindu,Male,40,more than 30 k INR
40,Private,10th,6,Executive,Married,Hindu,Male,40,more than 30 k INR
40,Private,10th,6,Executive,Married,Hindu,Male,40,more than 30 k INR
64,Government,10th,6,Executive,Married,Hindu,Male,40,more than 30 k INR
42,Government,10th,6,Domestic Servants,Married,Hindu,Male,40,more than 30 k INR
40,Private,10th,6,Driver,Married,Hindu,Male,40,more than 30 k INR
47,Private,10th,6,Driver,Married,Hindu,Male,40,more than 30 k INR
44,Private,10th,6,Driver,Married,Hindu,Male,40,more than 30 k INR
38,Private,10th,6,Driver,Married,Hindu,Male,40,more than 30 k INR
51,Private,10th,6,Sales,Married,Hindu,Male,40,more than 30 k INR
38,Private,10th,6,Sales,Married,Hindu,Male,40,more than 30 k INR
31,Private,10th,6,Call Center,Married,Hindu,Male,40,more than 30 k INR
64,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,more than 30 k INR
59,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,more than 30 k INR
58,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,more than 30 k INR
46,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,more than 30 k INR
48,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,more than 30 k INR
53,Government,10th,6,Taxi-driver,Married,Hindu,Male,40,more than 30 k INR
43,Private,10th,6,Taxi-driver,Married,Hindu,Male,40,less than 30 k INR
52,Private,10th,6,Driver,Married,Hindu,Male,41,less than 30 k INR
57,Private,10th,6,Mechanic,Married,Hindu,Male,43,less than 30 k INR
63,Private,10th,6,Police,Married,Hindu,Male,45,less than 30 k INR
55,Government,10th,6,Mechanic,Married,Hindu,Male,45,less than 30 k INR
46,Private,10th,6,Mechanic,Married,Hindu,Male,45,less than 30 k INR
25,Private,10th,6,Mechanic,Married,Hindu,Male,45,less than 30 k INR
42,Private,10th,6,Mechanic,Married,Hindu,Male,45,less than 30 k INR
55,Private,10th,6,Executive,Married,Hindu,Male,45,less than 30 k INR
32,Private,10th,6,Executive,Married,Hindu,Male,45,less than 30 k INR
51,Private,10th,6,Domestic Servants,Married,Hindu,Male,45,less than 30 k INR
39,Private,10th,6,Domestic Servants,Married,Hindu,Male,45,less than 30 k INR
52,Private,10th,6,Domestic Servants,Married,Hindu,Male,45,less than 30 k INR
54,Government,10th,6,Fireman,Married,Hindu,Male,45,less than 30 k INR
52,Private,10th,6,Sales,Married,Hindu,Male,45,less than 30 k INR
52,Private,10th,6,Taxi-driver,Married,Hindu,Male,45,less than 30 k INR
34,Private,10th,6,Mechanic,Married,Hindu,Male,45,more than 30 k INR
48,Private,10th,6,Executive,Married,Hindu,Male,45,more than 30 k INR
59,Private,10th,6,Taxi-driver,Married,Hindu,Male,45,more than 30 k INR
47,Private,10th,6,Driver,Married,Hindu,Male,46,more than 30 k INR
52,Private,10th,6,Mechanic,Married,Hindu,Male,47,more than 30 k INR
37,Private,10th,6,Mechanic,Married,Hindu,Male,48,less than 30 k INR
61,Private,10th,6,Mechanic,Married,Hindu,Male,48,less than 30 k INR
27,Private,10th,6,Mechanic,Married,Hindu,Male,48,less than 30 k INR
28,Private,10th,6,Mechanic,Married,Hindu,Male,50,less than 30 k INR
37,Private,10th,6,Mechanic,Married,Hindu,Male,50,less than 30 k INR
58,Private,10th,6,Mechanic,Married,Hindu,Male,50,less than 30 k INR
40,Private,10th,6,Mechanic,Married,Hindu,Male,50,less than 30 k INR
63,Private,10th,6,Farmer,Married,Hindu,Male,50,less than 30 k INR
21,Private,10th,6,Driver,Married,Hindu,Male,50,less than 30 k INR
70,Private,10th,6,Driver,Married,Hindu,Male,50,less than 30 k INR
49,Private,10th,6,Driver,Married,Hindu,Male,50,less than 30 k INR
35,Private,10th,6,Driver,Married,Hindu,Male,50,less than 30 k INR
